core,BogoMIPS,Memory,RPS,p95,p99
4,108.0,8,13,135.7,214.9
4,108.0,8,14,127.8,190.6
4,108.0,8,13,117.9,175.9
4,108.0,8,13,100.5,179.5
4,108.0,8,14,115.6,190.6
4,108.0,8,13,108.9,162.4
4,108.0,8,14,120.3,186.8
4,108.0,8,14,144,237.5
4,108.0,8,13,127.8,210.6
4,108.0,8,13,135.7,210.6
4,108.0,8,13,117.9,179.5
4,108.0,8,14,104.6,175.9
4,108.0,8,14,104.6,175.9
4,108.0,8,13,104.6,172.5
4,108.0,8,14,120.3,190.6
4,108.0,8,13,117.9,194.4
4,108.0,8,14,125.2,210.6
4,108.0,8,13,125.2,186.8
4,108.0,8,13,102.5,165.7
4,108.0,8,14,106.7,179.5
4,108.0,8,13,156,257.3
4,108.0,8,13,141.2,228.2
4,108.0,8,13,106.7,169
4,108.0,8,14,149.9,210.6
4,108.0,8,13,120.3,183.1
4,108.0,8,13,127.8,179.5
4,108.0,8,14,127.8,198.4
4,108.0,8,13,117.9,190.6
4,108.0,8,13,125.2,228.2
4,108.0,8,14,102.5,169
4,108.0,8,13,125.2,190.6
4,108.0,8,13,156,242.3
4,108.0,8,13,115.6,169
4,108.0,8,14,113.3,175.9
4,108.0,8,13,122.7,202.4
4,108.0,8,14,147,214.9
4,108.0,8,14,125.2,186.8
4,108.0,8,13,106.7,172.5
4,108.0,8,13,96.6,165.7
4,108.0,8,13,156,252.2
4,108.0,8,14,122.7,169
4,108.0,8,14,125.2,179.5
4,108.0,8,13,153,257.3
4,108.0,8,13,120.3,198.4
4,108.0,8,13,100.5,172.5
4,108.0,8,13,149.9,214.9
4,108.0,8,13,122.7,202.4
4,108.0,8,13,111.1,194.4
4,108.0,8,14,117.9,183.1
4,108.0,8,13,141.2,228.2
4,108.0,8,13,102.5,169
4,108.0,8,14,113.3,194.4
4,108.0,8,14,147,202.4
4,108.0,8,13,144,232.8
4,108.0,8,14,133,214.9
4,108.0,8,14,130.3,223.7
4,108.0,8,13,92.8,172.5
4,108.0,8,14,117.9,183.1
4,108.0,8,13,135.7,202.4
4,108.0,8,14,111.1,172.5
4,108.0,8,13,125.2,183.1
4,108.0,8,13,127.8,194.4
4,108.0,8,14,190.6,308
4,108.0,8,13,127.8,206.5
4,108.0,8,14,133,198.4
4,108.0,8,13,94.6,162.4
4,108.0,8,13,111.1,165.7
4,108.0,8,13,122.7,183.1
4,108.0,8,13,111.1,190.6
4,108.0,8,13,111.1,186.8
4,108.0,8,13,113.3,169
4,108.0,8,13,117.9,183.1
4,108.0,8,13,122.7,183.1
4,108.0,8,12,127.8,210.6
4,108.0,8,13,141.2,214.9
4,108.0,8,12,141.2,179.5
4,108.0,8,12,144,198.4
4,108.0,8,13,122.7,198.4
4,108.0,8,13,106.7,175.9
4,108.0,8,13,113.3,202.4
4,108.0,8,14,135.7,202.4
4,108.0,8,13,149.9,214.9
4,108.0,8,13,122.7,190.6
4,108.0,8,14,117.9,190.6
4,108.0,8,13,111.1,169
4,108.0,8,14,125.2,202.4
4,108.0,8,14,120.3,186.8
4,108.0,8,14,125.2,210.6
4,108.0,8,14,122.7,179.5
4,108.0,8,13,106.7,179.5
4,108.0,8,13,125.2,183.1
4,108.0,8,13,194.4,314.2
4,108.0,8,13,111.1,179.5
4,108.0,8,14,115.6,190.6
4,108.0,8,13,108.9,179.5
4,108.0,8,13,125.2,190.6
4,108.0,8,14,111.1,172.5
4,108.0,8,14,125.2,172.5
4,108.0,8,14,113.3,183.1
4,108.0,8,13,108.9,172.5
4,108.0,8,13,127.8,219.2
4,108.0,8,14,111.1,179.5
4,108.0,8,14,133,194.4
4,108.0,8,13,108.9,172.5
4,108.0,8,13,89.1,165.7
4,108.0,8,12,130.3,190.6
4,108.0,8,12,96.6,156
4,108.0,8,12,102.5,175.9
4,108.0,8,14,133,202.4
4,108.0,8,13,102.5,175.9
4,108.0,8,13,159.2,232.8
4,108.0,8,12,149.9,202.4
4,108.0,8,12,111.1,179.5
4,108.0,8,13,120.3,186.8
4,108.0,8,14,125.2,190.6
4,108.0,8,14,169,284.3
4,108.0,8,13,122.7,179.5
4,108.0,8,14,113.3,186.8
4,108.0,8,13,130.3,228.2
4,108.0,8,13,100.5,165.7
4,108.0,8,13,122.7,194.4
4,108.0,8,14,141.2,219.2
4,108.0,8,14,127.8,183.1
4,108.0,8,13,149.9,257.3
4,108.0,8,13,115.6,175.9
4,108.0,8,14,111.1,165.7
4,108.0,8,13,144,242.3
4,108.0,8,14,149.9,232.8
4,108.0,8,14,111.1,183.1
4,108.0,8,14,115.6,169
4,108.0,8,13,127.8,202.4
4,108.0,8,13,113.3,210.6
4,108.0,8,13,130.3,175.9
4,108.0,8,14,115.6,172.5
4,108.0,8,13,130.3,206.5
4,108.0,8,14,106.7,169
4,108.0,8,14,147,219.2
4,108.0,8,12,127.8,179.5
4,108.0,8,14,149.9,210.6
4,108.0,8,12,127.8,190.6
4,108.0,8,14,117.9,169
4,108.0,8,12,133,214.9
4,108.0,8,13,104.6,172.5
4,108.0,8,14,115.6,194.4
4,108.0,8,14,117.9,183.1
4,108.0,8,13,111.1,194.4
4,108.0,8,14,141.2,242.3
4,108.0,8,13,106.7,165.7
4,108.0,8,13,125.2,179.5
4,108.0,8,13,108.9,175.9
4,108.0,8,13,96.6,165.7
4,108.0,8,14,117.9,202.4
4,108.0,8,13,106.7,165.7
4,108.0,8,13,120.3,169
4,108.0,8,14,149.9,242.3
4,108.0,8,14,165.7,273.2
4,108.0,8,14,144,267.8
4,108.0,8,14,138.4,194.4
4,108.0,8,13,159.2,262.5
4,108.0,8,13,138.4,242.3
4,108.0,8,13,141.2,219.2
4,108.0,8,13,144,206.5
4,108.0,8,13,117.9,175.9
4,108.0,8,13,135.7,202.4
4,108.0,8,13,104.6,175.9
4,108.0,8,12,133,194.4
4,108.0,8,13,125.2,214.9
4,108.0,8,13,102.5,175.9
4,108.0,8,14,156,186.8
4,108.0,8,14,98.5,169
4,108.0,8,13,149.9,219.2
4,108.0,8,14,125.2,194.4
4,108.0,8,13,104.6,169
4,108.0,8,13,117.9,183.1
4,108.0,8,13,125.2,190.6
4,108.0,8,14,130.3,198.4
4,108.0,8,14,117.9,186.8
4,108.0,8,13,125.2,206.5
4,108.0,8,13,127.8,198.4
4,108.0,8,12,133,223.7
4,108.0,8,12,144,219.2
4,108.0,8,13,138.4,210.6
4,108.0,8,14,135.7,214.9
4,108.0,8,14,100.5,169
4,108.0,8,13,125.2,179.5
4,108.0,8,14,144,223.7
4,108.0,8,13,127.8,228.2
4,108.0,8,14,130.3,179.5
4,108.0,8,13,130.3,210.6
4,108.0,8,13,120.3,186.8
4,108.0,8,13,111.1,169
4,108.0,8,14,100.5,172.5
4,108.0,8,13,120.3,179.5
4,108.0,8,13,127.8,186.8
4,108.0,8,12,120.3,190.6
4,108.0,8,12,111.1,175.9
4,108.0,8,12,98.5,179.5
4,108.0,8,13,115.6,179.5
4,108.0,8,14,144,228.2
4,108.0,8,13,133,186.8
4,108.0,8,13,117.9,210.6
4,108.0,8,14,133,214.9
4,108.0,8,13,104.6,172.5
4,108.0,8,14,133,183.1
4,108.0,8,13,144,198.4
4,108.0,8,13,102.5,162.4
4,108.0,8,13,135.7,210.6
4,108.0,8,13,120.3,210.6
