Min-heap,Max-heap,Min-heap-free-ratio,Max-heap-free-ratio,New-ratio,Survivor-ratio
150,600,30,60,2,7
300,600,30,60,2,7
450,600,30,60,2,7
600,600,30,60,2,7
200,800,30,60,2,7
400,800,30,60,2,7
600,800,30,60,2,7
800,800,30,60,2,7
250,1000,30,60,2,7
500,1000,30,60,2,7
750,1000,30,60,2,7
1000,1000,30,60,2,7
300,1200,30,60,2,7
600,1200,30,60,2,7
900,1200,30,60,2,7
1200,1200,30,60,2,7
350,1400,30,60,2,7
700,1400,30,60,2,7
1050,1400,30,60,2,7
1400,1400,30,60,2,7
400,1600,30,60,2,7
800,1600,30,60,2,7
1200,1600,30,60,2,7
1600,1600,30,60,2,7
450,1800,30,60,2,7
900,1800,30,60,2,7
1350,1800,30,60,2,7
1800,1800,30,60,2,7
500,2000,30,60,2,7
1000,2000,30,60,2,7
1500,2000,30,60,2,7
2000,2000,30,60,2,7
150,600,40,60,2,7
300,600,40,60,2,7
450,600,40,60,2,7
600,600,40,60,2,7
200,800,40,60,2,7
400,800,40,60,2,7
600,800,40,60,2,7
800,800,40,60,2,7
250,1000,40,60,2,7
500,1000,40,60,2,7
750,1000,40,60,2,7
1000,1000,40,60,2,7
300,1200,40,60,2,7
600,1200,40,60,2,7
900,1200,40,60,2,7
1200,1200,40,60,2,7
350,1400,40,60,2,7
700,1400,40,60,2,7
1050,1400,40,60,2,7
1400,1400,40,60,2,7
400,1600,40,60,2,7
800,1600,40,60,2,7
1200,1600,40,60,2,7
1600,1600,40,60,2,7
450,1800,40,60,2,7
900,1800,40,60,2,7
1350,1800,40,60,2,7
1800,1800,40,60,2,7
500,2000,40,60,2,7
1000,2000,40,60,2,7
1500,2000,40,60,2,7
2000,2000,40,60,2,7
150,600,50,60,2,7
300,600,50,60,2,7
450,600,50,60,2,7
600,600,50,60,2,7
200,800,50,60,2,7
400,800,50,60,2,7
600,800,50,60,2,7
800,800,50,60,2,7
250,1000,50,60,2,7
500,1000,50,60,2,7
750,1000,50,60,2,7
1000,1000,50,60,2,7
300,1200,50,60,2,7
600,1200,50,60,2,7
900,1200,50,60,2,7
1200,1200,50,60,2,7
350,1400,50,60,2,7
700,1400,50,60,2,7
1050,1400,50,60,2,7
1400,1400,50,60,2,7
400,1600,50,60,2,7
800,1600,50,60,2,7
1200,1600,50,60,2,7
1600,1600,50,60,2,7
450,1800,50,60,2,7
900,1800,50,60,2,7
1350,1800,50,60,2,7
1800,1800,50,60,2,7
500,2000,50,60,2,7
1000,2000,50,60,2,7
1500,2000,50,60,2,7
2000,2000,50,60,2,7
150,600,30,70,2,7
300,600,30,70,2,7
450,600,30,70,2,7
600,600,30,70,2,7
200,800,30,70,2,7
400,800,30,70,2,7
600,800,30,70,2,7
800,800,30,70,2,7
250,1000,30,70,2,7
500,1000,30,70,2,7
750,1000,30,70,2,7
1000,1000,30,70,2,7
300,1200,30,70,2,7
600,1200,30,70,2,7
900,1200,30,70,2,7
1200,1200,30,70,2,7
350,1400,30,70,2,7
700,1400,30,70,2,7
1050,1400,30,70,2,7
1400,1400,30,70,2,7
400,1600,30,70,2,7
800,1600,30,70,2,7
1200,1600,30,70,2,7
1600,1600,30,70,2,7
450,1800,30,70,2,7
900,1800,30,70,2,7
1350,1800,30,70,2,7
1800,1800,30,70,2,7
500,2000,30,70,2,7
1000,2000,30,70,2,7
1500,2000,30,70,2,7
2000,2000,30,70,2,7
150,600,40,70,2,7
300,600,40,70,2,7
450,600,40,70,2,7
600,600,40,70,2,7
200,800,40,70,2,7
400,800,40,70,2,7
600,800,40,70,2,7
800,800,40,70,2,7
250,1000,40,70,2,7
500,1000,40,70,2,7
750,1000,40,70,2,7
1000,1000,40,70,2,7
300,1200,40,70,2,7
600,1200,40,70,2,7
900,1200,40,70,2,7
1200,1200,40,70,2,7
